video,accuracy,precision,recall,f1,tp,fp,fn,w,h,square
6847068375719_2,0.6837725381414702,0.9979757085020244,0.6847222222222222,0.8121911037891268,2465,5,1135,201.9977765425236,250.58254585881045,50659.66481378544
1080p_20220331_200606_recording_1648740480_cc,0.7935323383084577,0.8836565096952909,0.8861111111111111,0.8848821081830791,3190,420,410,68.86629434954008,87.07079500657031,6075.681997371879
1080p_20220412_192321_recording_1649772120_bf,0.187338676810216,0.488141592920354,0.2331360946745562,0.3155606407322654,1379,1446,4536,84.61198635699205,106.97060256618484,9201.78333604028
1080p_20220331_165406_recording_1648729500_ab,0.3986958546809501,0.7115544472152951,0.4755555555555555,0.5700965700965701,1712,694,1888,70.55549664192294,90.55514316012726,6396.700424178155
1080p_20230322_134424_presenter_dcd87edc_34a5,0.9725152692948362,0.9994293865905848,0.9730555555555556,0.9860661505981704,3503,2,97,143.39577543079488,210.80350194552528,30250.452751528628
atrium_125_2,0.6247158503823104,0.9858144464373064,0.6303826504014179,0.7690155176799797,6046,87,3545,196.80901422636285,249.2232154097948,49382.72441143145
korolev,0.0433333333333333,1.0,0.0433333333333333,0.0830670926517571,156,0,3444,57.247559547051935,78.01874267864116,4474.303787582975
atrium_118_5,0.8678121102951365,0.9972929936305732,0.8698611111111111,0.9292284866468842,6263,17,937,157.7741127348643,220.54780793319412,34860.783855254
parsa,0.9238888888888888,1.0,0.9238888888888888,0.96043892578689,3326,0,274,76.18356619172776,108.75003458292989,8298.342647669111
1080p_20230311_174953_recording_1678528560_13,0.9836111111111112,1.0,0.9836111111111112,0.9917378518414788,3541,0,59,99.97200447928331,140.744960806271,14080.8085106383
1080p_20230323_003341_presenter_1faa9d20_b66a,0.9839424141749724,0.9966348850252384,0.9872222222222222,0.9919062238347752,3554,12,46,135.48222222222222,202.44222222222223,27429.97388888889
1080p_20220425_175858_recording_1650892560_84,0.0050144354961252,0.7674418604651163,0.005022066656521,0.0099788327789537,33,10,6538,59.19437024861311,79.8343949044586,4764.405588658311
1080p_20230318_205539_recording_1679145360_fa,0.7801379310344828,0.9912372940764108,0.7855555555555556,0.876491554315822,2828,25,772,137.3328635851184,207.55298759864712,28518.44757609921
atrium_118_4,0.974648663543676,0.9918676388109928,0.9825,0.9871615964275748,3537,29,63,158.83164920737926,218.4387688884769,34771.56836933346
1080p_20220405_162314_recording_1649158560_66,0.1626992341130201,0.3896876549330689,0.2183333333333333,0.2798646964571835,786,1231,2814,86.13263732352593,106.79345118044846,9235.146755249732
1080p_20220419_112841_recording_1650351600_be,0.0099820834399795,0.1127167630057803,0.0108333333333333,0.0197668525088697,39,307,3561,56.80083711196372,76.54098360655738,4432.052319497733
saslastnikov,0.0954656089425764,0.783284023668639,0.0980555555555555,0.1742922975641869,1059,293,9741,62.32706927479286,85.02827368241223,6446.261211241138
6847068375719,0.0662049861495844,0.9598393574297188,0.0663888888888888,0.124188100805404,239,10,3361,90.95992578849722,126.51614100185527,11612.054174397032
atrium_118_2,0.7092309102575854,0.9861075707366812,0.7163888888888889,0.8298830848439342,7737,109,3063,148.36194444444445,222.8503703703704,33164.125185185185
adpiskunov,0.8060857538035962,0.99487879822465,0.8094444444444444,0.89263286873947,2914,15,686,135.17133867276888,203.04147597254004,27473.33123569794
1080p_20220419_173326_recording_1650373200_25,0.8514525553452391,0.9991308546595848,0.8520836764948114,0.9197670800551184,10346,9,1796,131.03331360446435,169.89101209097828,22457.89270313689
1080p_20230407_144945_presenter_14938622_bbc3,0.9877777777777778,1.0,0.9877777777777778,0.9938513135830072,3556,0,44,138.98194444444445,207.28333333333333,28811.55
atrium_118_3,0.4397005822012753,0.9956057752667922,0.4405555555555555,0.6108222607356055,1586,7,2014,167.76283482142858,223.53041294642856,37629.37472098215
6847068375719_1,0.6948694869486949,0.9993527508090616,0.695182350292661,0.8199681359532661,1544,1,677,186.752539242844,230.13896583564173,43004.94921514312
7008781273705_1,0.0006905123601712,0.108695652173913,0.0006944444444444,0.0013800717637317,5,41,7195,47.96687578419071,61.22484316185697,2966.9831869510663
atrium_125_6,0.6767552349111385,0.9773824650571792,0.6875223453700393,0.8072200650645397,7692,178,3496,150.50129395646218,199.4210686558076,30417.19021159994
atrium_125_4,0.8447058823529412,0.995920365535248,0.8476388888888889,0.9158163265306124,6103,25,1097,211.52702508960573,271.03225806451616,57437.762724014334
atrium_118_1,0.9761310019428254,0.9991477272727272,0.9769444444444444,0.9879213483146068,3517,3,83,143.82768518518515,197.0087962962963,28333.67925925926
atrium_118_6,0.9845833333333334,1.0,0.9845833333333334,0.9922317866890616,14178,0,222,162.2998611111111,218.09048611111112,35396.596666666665
1080p_20220330_154734_recording_1648639200_1e,0.162309177048605,0.3058862433862434,0.2569444444444444,0.2792874396135265,925,2099,2675,68.28611948236129,85.30225137386988,5897.885304024109
7008781273705_2,0.0014868883482022,0.0526315789473684,0.0015277777777777,0.0029693615872587,11,198,7189,49.01169871794872,62.69967948717949,3079.3671474358976
palmasizade,0.8130661542684601,0.9856905158069884,0.8227777777777778,0.896896290688872,2962,43,638,74.94099030117407,98.99111791730476,7785.5522205206735
01080p_20230322_101245_608727_0427,0.9394444444444444,1.0,0.9394444444444444,0.9687768547694072,3382,0,218,136.7530657748049,202.45178372352285,27691.36928651059
1080p_20220331_155536_recording_1648726140_8e,0.1607506217499434,0.4634941329856584,0.1975,0.2769770159719517,711,823,2889,73.00887573964496,92.29543533389688,6738.9010989010985
7008781273705,0.0029866956285636,0.1170212765957446,0.0030555555555555,0.0059556036816459,22,166,7178,52.303323593864135,76.25748721694667,4083.5595325054783
1080p_20220331_135917_recording_1648718820_5b,0.2422096317280453,0.4714454509649468,0.3325,0.3899657924743444,1197,1342,2403,69.30158411870865,86.97072388209344,6070.033487066373
1080p_20220331_115400_recording_1648711500_cf,0.5803977953510664,0.8086811352253757,0.6727777777777778,0.7344958301743746,2422,573,1178,70.88291686311489,89.0979097909791,6321.365236523652
1080p_20220331_125501_recording_1648715160_ed,0.2112822647793505,0.4574132492113564,0.2819444444444444,0.3488571919573809,1015,1204,2585,70.67936069455406,91.50355169692186,6480.473954222573
1080p_20230318_192453_recording_1679139360_ac,0.7847655191108701,0.9701742627345844,0.8041666666666667,0.879404617253949,2895,89,705,139.01936416184972,209.5829479768786,29147.122832369943
7132965636760_1,0.0112359550561797,0.0481481481481481,0.0144444444444444,0.0222222222222222,52,1028,3548,53.60721524118362,72.00486420753953,3893.00243210377
7159730539244,0.0,0.0,0.0,0.0,0,756,3600,38.20876288659794,55.10137457044674,2112.486540664376
1080p_20220330_183500_recording_1648646400_9f,0.5996324494618009,0.91616526273566,0.6344444444444445,0.7497127851633022,2284,209,1316,69.84017003188097,91.66695005313495,6490.908182784272
6847068375719_4,0.3129274965800274,0.9651898734177216,0.3164994811483915,0.4766866371450899,1830,66,3952,190.6234999104424,285.1255597349096,56976.22783449758
1080p_20220419_172843_recording_1650373200_e4,0.5904682737600443,0.9957943925233644,0.5919444444444445,0.7425087108013937,2131,9,1469,248.74203924091347,362.1900932775813,90307.68896751368
1080p_20220419_133202_recording_1650358800_2a,0.411214953271028,1.0,0.411214953271028,0.5827814569536424,88,0,126,106.3584229390681,159.05376344086022,17208.74193548387
1080p_20220331_175806_recording_1648733160_9c(1),0.5874488403819919,0.9706943192064924,0.5980555555555556,0.7401168786524579,2153,65,1447,64.44980443285527,87.548370273794,5657.69778357236
6847068375719_5,0.3621621621621622,0.9948600799543118,0.3628410747760883,0.5317460317460317,1742,9,3059,185.5397201802229,257.97699786578136,48785.34289779464
1080p_20230318_181608_602198_0,0.7971334068357222,0.9904109589041096,0.8033333333333333,0.8871165644171779,2892,28,708,139.99582753824757,201.3460361613352,28235.18970792768
atrium_125_1,0.6486237687563289,0.991137994091996,0.6524074074074074,0.786866938410855,7046,63,3754,201.41820752664785,259.05264302806177,52221.9842288449
