video,accuracy,precision,recall,f1,tp,fp,fn,w,h,square
6847068375719_2,0.7654218533886583,0.994608195542775,0.7686111111111111,0.8671262926982137,2767,15,833,201.99193996664815,250.5,50646.089494163425
1080p_20220331_200606_recording_1648740480_cc,0.7969924812030075,0.8907563025210085,0.8833333333333333,0.8870292887029289,3180,390,420,68.86993076162216,87.06561160567095,6075.15051104517
1080p_20220412_192321_recording_1649772120_bf,0.2105338485759267,0.5784506488399528,0.2486897717666948,0.3478363679356822,1471,1072,4444,84.57947454844006,107.07159277504105,9218.159113300493
1080p_20220331_165406_recording_1648729500_ab,0.4879627232720683,0.87756052141527,0.5236111111111111,0.6558803061934585,1885,263,1715,70.54155590997696,90.53517632465001,6393.714513556619
1080p_20230322_134424_presenter_dcd87edc_34a5,0.99,1.0,0.99,0.9949748743718592,3564,0,36,143.33388935223797,210.72004448151236,30224.58103975535
atrium_125_2,0.611628388164701,0.987472857858694,0.6164112188510061,0.7590191295416614,5912,75,3679,196.62200050517808,249.41184642586512,49371.39277595352
korolev,0.0166666666666666,1.0,0.0166666666666666,0.0327868852459016,60,0,3540,57.20688306609308,77.98826750097771,4469.51075479077
atrium_118_5,0.9048611111111112,1.0,0.9048611111111112,0.9500546846518412,6515,0,685,157.77958785853522,220.44876079086606,34845.43469785575
parsa,0.9488243430152145,0.995645863570392,0.9527777777777776,0.9737402413058904,3430,15,170,76.14123354123355,108.67789327789328,8288.140124740125
1080p_20230311_174953_recording_1678528560_13,0.9880555555555556,1.0,0.9880555555555556,0.9939918960458292,3557,0,43,100.08678611422172,140.73320268756999,14096.777435610302
1080p_20230323_003341_presenter_1faa9d20_b66a,0.9958333333333332,1.0,0.9958333333333332,0.9979123173277662,3585,0,15,135.51555555555555,202.49583333333334,27444.20388888889
1080p_20220425_175858_recording_1650892560_84,0.0,0.0,0.0,0.0,0,0,6571,59.22941055658246,79.8802628876566,4769.772437872253
1080p_20230318_205539_recording_1679145360_fa,0.8212801330008312,0.9969727547931384,0.8233333333333334,0.9018712916476496,2964,9,636,137.25394588500563,207.4684329199549,28489.17869222097
atrium_118_4,0.9805212620027436,0.9875656258634982,0.9927777777777778,0.9901648427760078,3574,45,26,158.932387312187,218.50352439250602,34801.48951956965
